,Historical population data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time horizon: Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combined unit of measure: Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time period,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,"10,023,613","10,032,734","10,030,031","10,019,610","10,005,000","9,983,218","9,960,235","9,952,494","9,964,675","9,991,525","10,026,176","10,063,945","10,108,977","10,160,196","10,217,828","10,289,898","10,362,722","10,419,631","10,458,821","10,483,861","10,503,330","10,522,288","10,542,964","10,558,177","10,568,247","10,573,100","10,574,536","10,531,420","10,473,991","10,419,607","10,381,838","10,356,516","10,340,124","10,334,633","10,354,446","10,384,846","10,407,707","10,444,242",
,Reference area: Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,161,789","5,192,789","5,223,609","5,251,120","5,276,186","5,297,774","5,283,404","5,306,539","5,324,632","5,347,413","5,363,676","5,373,793","5,383,233","5,390,866","5,395,324","5,400,679","5,379,780","5,378,809","5,378,950","5,382,574","5,387,285","5,391,184","5,397,766","5,406,972","5,418,374","5,431,024","5,398,384","5,407,579","5,413,393","5,418,649","5,423,801","5,430,798","5,439,232","5,446,771","5,454,147","5,458,827","5,441,991","5,431,752",
,Reference area: Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1,941,640","1,980,718","1,989,462","1,999,988","1,999,404","1,998,090","2,001,768","1,995,832","1,990,623","1,988,850","1,987,505","1,991,169","1,986,848","1,982,603","1,985,557","1,990,272","1,992,035","1,995,718","1,996,773","1,997,004","2,001,114","2,008,516","2,019,406","2,022,629","2,042,335","2,049,261","2,052,496","2,056,262","2,059,114","2,061,623","2,063,077","2,064,241","2,066,161","2,070,050","2,089,310","2,100,126","2,107,007","2,108,732",
,Reference area: Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"38,467,025","38,571,941","38,682,322","38,764,307","38,821,377","38,860,827","38,941,622","39,147,940","39,356,082","39,547,353","39,718,895","39,884,246","40,049,974","40,214,066","40,369,667","40,554,387","40,766,049","41,423,520","42,196,231","42,859,172","43,662,613","44,360,521","45,236,004","45,983,169","46,367,550","46,562,483","46,736,257","46,766,403","46,593,236","46,455,123","46,410,149","46,449,874","46,532,869","46,728,814","47,105,358","47,355,685","47,331,302","47,615,034",
,Reference area: Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8,350,378","8,369,824","8,397,797","8,436,483","8,492,959","8,558,834","8,617,376","8,668,065","8,718,558","8,780,741","8,826,944","8,840,999","8,846,059","8,850,975","8,857,879","8,872,112","8,895,963","8,924,960","8,958,232","8,993,534","9,029,567","9,080,506","9,148,093","9,219,639","9,298,512","9,378,131","9,449,216","9,519,379","9,600,374","9,696,105","9,799,183","9,923,086","10,057,695","10,175,215","10,278,888","10,353,444","10,415,812","10,486,941",
,Reference area: Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
