IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.1670154771357537
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.219223214401937
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.2698157452846153
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.3170683258919853
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.351052549366726
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.3787300027335565
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.410565130234435
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.4431256264399983
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",3.477240539942465
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",17.844068536779716
